OBJECTID,UE_28_2013_UE_28_superficie_agr,fertilizantes_mod_ExcelToTab_F2,has_1000,Shape__Area,Shape__Length
1,Austria,139.522323750093,2726.89,184563360729.151,3467989.15857346
2,Bélgica,283.905967450271,1307.9,75972970781.6002,2315517.79778822
3,Bulgaria,112.015556885204,4650.94,205988311804.033,3126439.18631182
4,Croacia,181.700035540813,1571.2,113562106636.023,10437978.8992644
5,República Checa,152.698022959184,3491.47,188603543339.365,3005479.22395842
6,Dinamarca,132.486601446193,2619.34,138586350730.331,11183184.1593204
7,Estonia,117.106166940421,957.51,167429356099.342,6206906.43211601
8,Finlandia,82.8765107255943,2282.4,1836864071111.25,62812685.2228343
9,Francia,168.732053661784,27739.43,1164228592006.75,15836110.403897
10,Alemania,202.222719216812,16699.58,907908903379.685,13111996.4832957
11,Grecia,120.621852517986,4856.78,220103622755.625,20384209.8483171
12,Hungría,117.853905081365,4656.52,201137508069.25,2929025.808871
13,Irlanda,561.385422740525,4959.45,195349001545.391,12137501.6364321
14,Italia,128.916073322224,12098.89,561045213847.125,14422734.4457865
15,Letonia,104.759310456985,1877.72,215387786405.889,3775129.20272463
16,Lituania,121.910634577332,2861.25,200275669210.025,3051145.24646136
17,Luxemburgo,237.261146496815,131.04,6217307241.02393,501178.086369396
18,Malta,440.212931995541,10.88,496672977.395508,226784.267638208
19,Países Bajos,258.148112294288,1847.57,93704668901.1719,6612222.38389959
20,Polonia,175.502893359052,14409.87,826956999619.732,7624359.80244796
21,Portugal,173.939843515428,3641.59,150109292373.751,4070043.68778671
22,Rumanía,60.831563320772,13055.85,491287976417.389,5010282.49530168
23,República Eslovaca,110.334900542495,1901.61,112524683977.035,2186828.883104
24,Eslovenia,267.742461287694,485.76,42155535031.1172,1679833.33161901
25,España,150.508996595883,23300.22,861716417520.065,10677461.5631897
26,Suecia,96.6850058117009,3035.92,2181057348282.72,52177267.3300769
27,Reino Unido,246.880718682416,17326.99,717292006199.218,35725650.4315075
28,Chipre,157.166936299292,109.33,13859272374.5127,876648.888228311
