Edad;Sexo;Total
Todas las edades;Ambos sexos;6,826
Todas las edades;Varones;10,820
Todas las edades;Mujeres;2,948
Menores de 15 años;Ambos sexos;0,043
Menores de 15 años;Varones;0,084
Menores de 15 años;Mujeres;..
De 15 a 19 años;Ambos sexos;1,258
De 15 a 19 años;Varones;1,925
De 15 a 19 años;Mujeres;0,554
De 20 a 24 años;Ambos sexos;3,645
De 20 a 24 años;Varones;5,865
De 20 a 24 años;Mujeres;1,343
De 25 a 29 años;Ambos sexos;3,551
De 25 a 29 años;Varones;5,780
De 25 a 29 años;Mujeres;1,237
De 30 a 34 años;Ambos sexos;5,288
De 30 a 34 años;Varones;8,365
De 30 a 34 años;Mujeres;2,016
De 35 a 39 años;Ambos sexos;7,160
De 35 a 39 años;Varones;11,066
De 35 a 39 años;Mujeres;3,014
De 40 a 44 años;Ambos sexos;9,202
De 40 a 44 años;Varones;13,780
De 40 a 44 años;Mujeres;4,473
De 45 a 49 años;Ambos sexos;8,947
De 45 a 49 años;Varones;13,704
De 45 a 49 años;Mujeres;4,176
De 50 a 54 años;Ambos sexos;10,180
De 50 a 54 años;Varones;16,090
De 50 a 54 años;Mujeres;4,402
De 55 a 59 años;Ambos sexos;8,941
De 55 a 59 años;Varones;13,918
De 55 a 59 años;Mujeres;4,184
De 60 a 64 años;Ambos sexos;9,026
De 60 a 64 años;Varones;14,229
De 60 a 64 años;Mujeres;4,208
De 65 a 69 años;Ambos sexos;9,665
De 65 a 69 años;Varones;15,110
De 65 a 69 años;Mujeres;4,787
De 70 a 74 años;Ambos sexos;10,604
De 70 a 74 años;Varones;17,648
De 70 a 74 años;Mujeres;4,769
De 75 a 79 años;Ambos sexos;13,343
De 75 a 79 años;Varones;24,075
De 75 a 79 años;Mujeres;5,318
De 80 a 84 años;Ambos sexos;15,032
De 80 a 84 años;Varones;32,566
De 80 a 84 años;Mujeres;3,822
De 85 a 89 años;Ambos sexos;19,100
De 85 a 89 años;Varones;44,015
De 85 a 89 años;Mujeres;5,851
De 90 a 94 años;Ambos sexos;18,227
De 90 a 94 años;Varones;51,136
De 90 a 94 años;Mujeres;4,903
De 95 años y más;Ambos sexos;12,274
De 95 años y más;Varones;33,058
De 95 años y más;Mujeres;5,437
